rank,compound,n_reversing_sigs,median_z_sum,best_z_sum,best_p,method
41,Laminin,2,-1.6210478615003105,-3.216017040551714,0.0006081111401589809,local_gmt_fallback
42,Ursodeoxycholic,2,-1.5879535511559313,-3.17118400759808,0.0006742422953272259,local_gmt_fallback
43,Sirolimus,1,-3.0297547026373897,-3.0297547026373897,0.0009337815685629434,local_gmt_fallback
44,Dactinomycin,2,-1.5353678795240688,-2.9559486155730226,0.0011067547241472178,local_gmt_fallback
45,Curcumin,2,-1.4605229370477706,-2.921015802596023,0.0011994556579757653,local_gmt_fallback
46,Bexarotene,2,-1.3517901280448237,-2.6755628231300075,0.0021107518416437826,local_gmt_fallback
47,Perfluorooctanoic,2,-1.303673787249061,-2.601385513164088,0.0025038856249052148,local_gmt_fallback
48,Promegestone,2,-1.3011401421468798,-2.5824432639242025,0.0026155121153872266,local_gmt_fallback
49,"2,3",2,-1.3244044979258918,-2.5824432639242025,0.0026155121153872266,local_gmt_fallback
50,Azacitidine,2,-1.2279384040534467,-2.452030588754784,0.0035315829484333676,local_gmt_fallback
51,Argyrin,2,-1.2323536034102063,-2.4252370600069573,0.003756323091070804,local_gmt_fallback
52,Pertuzumab,2,-1.1773517894807708,-2.3282479468513926,0.004696259138263709,local_gmt_fallback
53,"Puromycin,",9,-0.4814626588401207,-2.3232902602090335,0.0047501764234063,local_gmt_fallback
54,Alfacalcidol,1,-2.245321871536532,-2.245321871536532,0.005684314893078726,local_gmt_fallback
55,Sorafenib,1,-2.2107230756878464,-2.2107230756878464,0.006155692602820897,local_gmt_fallback
56,Dasatinib,2,-1.13477487974542,-2.2071156122042592,0.00620703776582845,local_gmt_fallback
57,Decitabine,2,-1.134334511613234,-2.159814503839198,0.006921265293589002,local_gmt_fallback
58,Menadione,1,-2.1511260574492574,-2.1511260574492574,0.007061125696904551,local_gmt_fallback
59,Fluorouracil,2,-1.7347813998255193,-2.1240497269313905,0.007515368377546745,local_gmt_fallback
60,Monuron,2,-1.0671926659897482,-2.112440282321127,0.00771897648102755,local_gmt_fallback
61,Lmp,1,-2.1026015605928614,-2.1026015605928614,0.007895841820414876,local_gmt_fallback
62,Cadmium,4,-0.19234435305181316,-2.049590510423354,0.008920916812130825,local_gmt_fallback
63,Antimony,2,-1.2295245621574264,-2.0345753512505804,0.009234739493265877,local_gmt_fallback
64,Lapatinib,2,-0.9535967798633416,-1.8892664661913896,0.012904272747160907,local_gmt_fallback
65,Gamma,2,-0.9123887179988809,-1.8229669437812315,0.015032563817291613,local_gmt_fallback
66,Hydrocortisone,2,-0.8656498394128522,-1.723928513056521,0.018883021470575377,local_gmt_fallback
67,Hodgkin,2,-0.8368515350314504,-1.6714017678634232,0.021310725357551553,local_gmt_fallback
68,Trovafloxacin,2,-0.7998377181305681,-1.5671658364537606,0.027091569358784588,local_gmt_fallback
69,Cigarette,2,-0.8110191915333653,-1.5543188412120583,0.027904944223739188,local_gmt_fallback
70,Pimecrolimus,1,-1.549414298108696,-1.549414298108696,0.02822186446839392,local_gmt_fallback
